CommitID,Commit Message
000e7e940d084e1a874256204eeddf90088a511d,Deduplicate code in InterpretedByteCode
001a3d1ed50713172774c4ae94effd34523aa9ca,"[1120417] Break up transaction of updatePluginConfigurationDefinition into smaller pieces Another pass here given some oracle test failures in the CI env. - Fix an issue with PropertyDefinitionSimple.removeEnumeratedValues.   An unexpected problem brought out, I guess, by the Tx reworking,   must be careful not to replace hibernate proxy dealing with   orphanRemoval. - remove unnecessary REQUIRES_NEW that could lead to locking issues - remove some dead code - start shortening xxxInNewTransaction to xxxInNewTx, purely for selfish reasons."
001af1b78a76382991db23fe7cf2934df70b6d12,Added a FoldedData class for cycling through training
01f3263b66f997aed359c2ff4eb7a92a1ea497df,"EST-610-add-display-order-to-property: Removed the @Nullable annotation, which was causing build errors. No longer sorting the allProperties() by default. Moved duplicate code in the moveUp/Down functions to a general move function. Removed secondary ordering by name. Since the allProperties() doesn't sort by default, several sorts are performed inside the PropertyOrderingViewModel"
01f63d38b8e4e60b9d29e2b2333429a40404a8c6,Code cleanup:  Score function should work in doubles to avoid wrapping on longs for long distances;  Minimum distance we care about was too high;  Removed link between Geo Only and Lucene+Geo path;  Removed some dead code that was commented out
021e82255f84b7f56333702e9601161e88fa2f5d,Introduce Writeback to reduce duplicate codes
027ff93ae46415c6d3c478d27a2e64d762a0a4c0,rename and remove dead code
02a81ff4f24805407ee3afaf2847b433f679bfed,Camel forge command - Align the duplicate code we have for add/edit endpoint options to use same class.
02d0fe5e585c9324da321f76d31f237a1a4632a8,"ISIS-1711: removes dead code, renames method"
055b7749b5ee7068c07bb708cee0a4c3ebba76da,move duplicate code to common method loadEntryWithCacheHints()
056bc2b99ef15dd20b2617006dfabcc89df13f1e,refactoring of Abstract*DataSet to delete duplicate code
05fac8a84e8bda3113c1c49412250747c3a0118d,Moving some duplicate code into AttachmentUtil
0624544d2ed21b5fcd241aa0460ea906bce2c34c,"- Bugzilla Bug (s) Resolved: 284870,284794 - Description: remove and merge duplicate code in multiple places"
067a9b1521a01f42ef478234dd2dc9c47b9e8fc1,Remove dead code.
073c77d363e10bf41d75d6452864fcfbde734589,embellish DuplicateBranches detector to look at switch statements. TODO: Need to convert relative offsets to absolute offsets so that branches inside the case statement match when the target is the same.
074d64df15d82609b430a79b551b8378fb822128,Add new UnsignedLong methods that we will shortly migrate to. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=38454126
078dccdbbb503e68390c60373ca8cee9cd190ef1,Some changes to counter store      removed dead code      fixed bug on handling display of ethtypes with MSB set      replaced counterkey string processing on every packet-in with tuple keys      removed collection of traffic type per switch-port
079536ce19a14ee4a74ad729a9e0d5e5db5d5f42,"PDI-11201 - Modified processList, processRecord in NoAuthMongoClientWrapper to allow for null values, added fields to unit test json to validate, deleted dead code"
0905dfe9f8970e1f830135398e09e4c73a2e2adf,"- Moved Address.java in client.http package, did minor changes. - Removed duplicate code for Voice and DataType classes. - Added comments in server code - not completed yet (old comments remaining here and there) but important things are documented now. - Changed class name marytts.client.http/MaryHtmlForm to ""MaryBaseClient"" since it is the base class that all clients use for communicating with Mary server."
0912c198a9727c541dc688bc9438fc7ea6de2452,StewartSingularValueDecomposition: re-factor monolithic code and ugly switch statement into multiple methods
09139b1b0e26827de52951316991372bbafd2f6d,Remove dead code: entity delta gui code (because planning entity's cloned don't equals() true so the Set/Map gets always return null)
0aa108ab909c9b188a559aa805568f42ece01903,"Entangled Table_Test, partially removed duplicate code"
0abf29cead9c47558643e7e89e0b2016b429ff2a,Duplicate code is my nemesis...
0acd1fc1a16842555b189ef9a9d0ffd3d1258d69,Remove duplicate code when handling PING
0c35e381af5877fbd1611369a95901dadf6a3973,Reduce duplicate code and code complexity
0c66b0065199584307997eaf70c9585a4d0964be,removed dead code moved code about specific elements to the layout factory (link and br) fixed form rendering bug
0c889ee6794c29fd5240f4a04e16363686db1b07,ROO-2337: Post 1.1.3.RELEASE code refactor and clean up - opened up type location and removed duplicate code from GwtOperationsImpl
0d3215931282755de5c3e5454a837a255dfedd9d,"Fixed compilation problems - missing dependency for interpreter project. Further implementation of switch statement (""defaultcase"" can be located in any order among case statements)."
0da3e26e44a2f55311cda0b372f190c7f1481b41,"Removed dead code.  Moved generic read and write methods to FileReader, FileWriter. "
0da617fa63009b8bd03ce96b5cdf207eb25f33fa,move some duplicate code in a common place
0e6ebb79d3872415b7cb3d41f9aa8f83aba623ba,Now the compiler supports a switch statement.
0f3e46053d337b5ad92a0d58b8cc0cc89e603c36,Removed: dead code; increase testing
0f714e38e220cffaed93aa52448732feea46b0b3,Renames the ComplexData classes that will be kept.
10c55232bb9a5674590b33f0930201acff5e6091,Refactored dead code elimination
112e3d2b2898edde583b9ff6a7ebd51245557921,Refactored to use a sensible MantaMetadata class.
11ee25bd63daa8df1a868c2ff6de4a3c59d50f2f,Refactor and removal og duplicate code.
12a2da1eae6a795409a339f1d43cba023854802c,got rid of some duplicate code in the Goal classes
12d9f4f2f60fb19e1d886a71c0fb8a790d244410," - Merge changes from Pull-Request #6 	 - Fix aggregation generation and cleanup dead code  - Update dependencies versions"
13c8421b8a4bd8a84a18fc6e492bf698b49ea62a,"Documented depositSchemaProperty, and refactored duplicate code into a single method within BeanSerializerBase"
141cdfc21e397b07a448e6bc8fbd3ee26277309a,"DelegatingPreparedStatement extends DelegatingStatement DelegatingCallableStatement extends DelegatingPreparedStatement => refactoring to remove duplicate code & other general cleanup => getDelegate methods changed signature (return always ""Statement"")"
155c9780c28deec73563bb75e9d4614c43a8b3a8,"More style stuff; use \n line separator always, unify use of log placeholders, fix unit tests that weren't cleaning up files (MAHOUT-217), remove dead code, redundancies, etc."
1574fb63a13c80fbbe0e43cc33467293a733ed3c,"ISIS-993: factored out LayoutMetadataService, renamed the metadata classes"
16ee76f092e1dbcb5e57be84089966db180751ca,fix duplicate code
181b954dc31411de9affceb984d167e3e41f360e,Updated test method names to new API of data classes
183691fc74bf44f4e276dc0abda753774e96f5a0,improve test coverage of ParseableQuery and LuxQueryParser; removed some dead code
184422bc11924225a0d09181ca07206b34a36774,refactoring long method hadleException
188203e5c38d6a061dbfc43fd508ea5118f3a085,NetCDFReader code to be moved into ExperimentalData class
189ab4f590fa1e7e7977927f4d2412f66408a71e,Remove dead code and optimize boolean filter
19171beac285de1095dc3aadd4b7cdb0d30ea5f9,engine: Moving Duplicate Code to Base Class
1a637a4458443361f50b77b085bda23162ddf818,"MATH-389 Duplicate code in ""MultivariateRealOptimizer"" and ""DifferentiableMultivariateRealOptimizer"" moved to new interface ""BaseMultivariateRealOptimizer"". New ""AbstractScalarOptimizer"" superclass allow implementations that do not use derivatives. Deprecated ""protected"" fields. ""NonLinearConjugateGradientOptimizer"" changed to make use of the newly added accessors instead of the ""protected"" fields."
1c0900f7c0e2a9b3f2a005dbf98caf7a4fcd3a9e,JCLOUDS-826: Add blob operations
