CommitID,Commit Message
000ca33754ccd17d3344592bf40c0d8de0eda90b,finalized functionality and tests
000d011444d9bd24028e59b23e2e20842c9da876,"* In alignment-to-text, tsv or tsv-single-base output there was a column for score but no header. added header. * For the QueueObjectPool, made a more generic interface and added a Null version that always creates new objects. This can be used for performance comparisons. * Added another layer of object abstraction GobySamRecord which contains one or more GobySamSegment. Things that exist for the entire read are stored in this object and the parser returns a GobySamRecord instead of a List<GobySamSegment>. This is easier to understand and models the data better. * Discovered a minor error with GobySamSegment sequence variation generation * Added tests from seq-var to verify seqvar during clipping, indels, etc. Make sure gsnap->sam->GobySamParser gets the same output as gsnap->compact-alignment->display-sequence-variations which enabled me to find one more issue with gsnap->compact-alignment seqvar generation related to soft clipping."
0015f33fe31a8da8a3160eaec923644c1a824d21,Introduced Miner level child injector for miner based singletons and other sub-application super-device functionality
001f2d6c6961444f9bbbef1beabdc286f7441e11,Improve performance of MessageSource condition
0020673e85071a6fd2537c69ff82a1ae19e98cbf,"Added ""delete candidate sessions"" functionality"
00293dfb095914c9751ac5c0da4de385223f8f14,"changing CreatedResources to be a Map indexed by key to make lookup easier based on creatable definition includes: - updates to all the tests and samples affected by this - tested and passing - some cleanups of the affected samples for better efficiency, simplicity and coding patterns - simplification of the CreatedResourcesImpl"
002b86ac0fc42f69e390a5f51ea104a7afbd8369,improve logging to capture some simple rules and thresholds to indicate performance issues
002cb673713ca73fce7420bdf81dbbfc12af4619,Fix the ted bug 18097 : Performance enhancement:  DTE should use ArchiveEntryInputStream.read() when reading only one byte data from report document
002df29ff345d46a0fabd9940a8a3f4edbec435a,Fix #792 : JUnit 4.12 compatibility
00341b55071be98ca470dcd92ac55e920095e1a2,"change performance testcase, add proxool/tomcat-jdbc"
003cb463dc5548bf325f0f2bf49934e6529e2c08,Implement cascading functionality for triggers
0046099052a16c40359b840b6f465f301fed1dd2,releng: Make use of Tycho POM-less functionality
004afa244752a52e3061ea5d551285b0d0b0286d,"Revert back to the package name ""org.kohsuke.stapler"" to avoid backward compatibility issues"
00511cfb7a616297acf74fd823cb80db2bf3dcf7,Bug 268916: Support genReport -help to show help document in command line Bug 268915: [Accessibility]Provide engine supported optionName/configName list in genReport help
0060d28d182e467abaaa6ea7c2935d91e0c24f7a,performance enhance
00690dfd727badb2d780a521984e70a1814a1aed,Improved Keyboard stability and performance (#1239)
00707bbdfa9a0d49aa9b7fc228e5522d275e626e,rename parameters for readability
007430111698154de3241eb57c4518215bdc8957,"Removed performance monitor as it is unneeded and didn't work, Made a Game interface for the API, Added a chat perm"
00752e2e08983ba935068296a60c9bbe2867a7e4,"Moving functionality to client. Some parts are in stub form, some are not done yet. Xml parsing is in flux"
0077bc0a010161eb44ce7bc88aa32b29986d2874,added Join operations to Criteria; modifications to increase JPA performance; upgraded to latest eclipselink - rjrjr
007a5c07750de2c7f8051255d42c26eabe9a6199,the processOccurence method is splitted into two for better modularity.
007bdbe3db9568eae14b4ae438c5914b020ee98d,"Extracted the administrative methods from the services and into a separate ""ServiceAdministrator"" component.  The use of composition rather than inheritance allows each service to reuse the service management functionality without having to extend a base class.  "
007f737e9334a1a8414833fb249a82195c3de8e2,moving compatibility tests to another project so they can be shared
