CommitID,Commit Message
0000ccbed0819833580c19dbddec1fb3505ad660,refactor storyreporterbuilder usage to be just-in-time
0004482f48a8a6fd73836e401ddcfc98b41ee8a9,Refactor abstract component classes
0005876cee8a7747c8cb593611de454f401cb4f0,Refactored for more logical structure
000a28b2852d2146d7872ce97490e4e85fd35b20,"support for labels/break/continue, refactored switch blocks"
000f22ac023da67ef338c279398682ef9841861b,Refactor data model to use better names
0010c4e7280315b179c88df1d27bda0c51118075,refactor(history): make historic external task log tests more robust
0010fce69a70a6cda3a926ab5fff171e34373f8a,EMAILPLT-70:  Some refactoring to support the DEMO service better
001352fedc342f73578066aa31c2885c7230fb43,ROO-2928: Post 1.2.0.RC1 code refactor and clean up - changed ItdTypeDetailsBuilder.addMethod calls to use MethodMetadataBuilder objects rather than MethodMetadata variant to avoid the unecessary conversion from MethodMetdata to MethodMetdataBuilder which happens regardless
00144903954f41826ca53eb9f4ecfabe7f16e31c,"Add module, refactory to multiple small packages"
001484a4de563e23f6814b62f44758485c412c77,Refactoring to keep old signatures
001492b8138fabd5b8b872e95e456e200d4f9f42,Refactored out the coloring. Work on the product configuration.
0016bb8da3444106894ffa2c41f491db2e0d093e,Refactor to use pull-shared module.
00195e9aac2d758aa5a6c6dbf09ce00fa9d86227,"- new analysis strip at the right of the text pane (errors and warnings) - fixed some bugs in the auto-completion (would not complete for only one item) - refactored the multi-line tooltip used by the ""tips"" and analysis strip"
001c1fa401d8c6bf0c4d5ee2f921be9497edc1da,Refactor DateTimePrinter to take DateTimeFormatSymbols
0020224db81b7cf847f782baafcf3c5c20a21fec,refactor
0022d9dc6c2f1967612849840f076cae4e66bf09,"Some refactoring of Check, changed under and over to less and greater, added value name fields for less and greater checks, fixed failed method name reporting, fixed bug in identifier check, wrote unit tests for all Check methods."
00237a284c333978b03da96fb79f20025acb6a51,Refactor BiZZdesign Import/Export into separate plug-in
0024bf38b4663396e119c8b6870df23da1e28a7d,[PAXEXAM-768] Java 8 refactoring
0026dfe142f77e41e32e9c1add1944678295e5c7,Refactor ListGroups: Move code to format output into command class
0027255e2a448a84da834b17ec4cdbb4f0576588,#NAME?
0027723e040b049c72b4007ac1f4865173440473,[task #8] Refactor: extract common project property modification code into abstract template class.
0027748f7b64bb0c46e015ff648d211b3c8c7563,refactored code
0027891033cdad09f772f3eda54f1c28db7487ca,refactoring...
00282727b838988daa3328595d3f9058d86fdf6d,minor refactor to create marshalString helper method
002a95cd8b176356e5f186d149f29bfb1f6a5ffb,Database Refactor
0030e51f286ed52ad4c2c44857c4a28525c83f93,Minor further refactoring of Theory ParameterSupplier setup
0031542a35f9774204254b3901f918b9f6c0d006,OPENNLP-483: Refactor the DefaultTokenContextGenerator to make it easier to create a sub-class
0031635d343e63ad20d29d68506174bc9edf9a32,#NAME?
003172f15d62428d90b56704b59ae591e0cad405,[MGN-56] Refactor: delete redundant AbstractRedisHistoricalTimeSeriesSource and add appropiate methods to RedisSimulationSeriesSource
00340ec6571be505de82e42c8eb4a9131ad6f3d8,made proper tests for each category + some refactoring
0036b74af8e1e6bcbdda06179693c310ce164a15,"ACT-1553: Refactor BpmnParse to use separate handlers for each bpmn element (first cut, working, but needs some extra cleanup love)"
0036bfc464333dab9377cc5017be2e99c8cd36a6,refactor Edge
003763b6ab59cb5fee5d1f059c1f20abcdb67a74,[MIN] some refactorings
0037e9dd55fc8bf2f29bd71e429da2133fa83e80,included review comments and minor refactorings
003ed33254d23401f7d2ac2fbaf26581db6bccd7,Restructure/refactor package hierarchy
003fab79b64ff52d8a3946c46bfda038a8799f92,refactored XSLContentAssistProcessor
0040f5eb2038d249cc26883d54c94fba97ca0e97,"works well, save for a refactor"
00410d4205e8ef025bb7bce01ad740facb0f09a1,core: Fixing/refactoring buildAndCheckDestStorageDomains
00493d14c9ab7142f6975787bc936abee359d32c,Reflects changes made by RedDeer Refactor RequirementsRunner issue number 1275
0049df8c0b899a08a063ff37cbf2699be582ec6e,refactoring and cleaning up SES UI
004a4f07264c6f7a5a5c9d9c82ff90884e5d5099,Refactoring: DesignElement mappings loading is done in Java without PL-SQL
004aeb37373223cd355c042c3dc1fe64255035bb,completing the memory -> buffered refactor
004b41c94227cd0bf2e48bc9ebf26c4e02c0acd2,some refactorings
0050ddaee42954a70e7f7c9c53e5d402aa4c94e6,OperatorContext refactoring
0052fb546c64929db42d53a7f175c99b6d502a91,#NAME?
00532428a2687ea6990c0434168f8c580e33b01a,"Lab 06_home, Stage III & further refactoring."
0053551ec485dcd5135517f1da1b6b0e83202d07,Player Event rescue and package refactor
0053d17543baca73a549264d27d1df3a649b1389,srm: Refactor representation of SURLs and paths
0053e0df2a134c41e9579e7390012dde93f50dd9,"Refactor XaLogicalLog to do read, apply and write entry in separate code sections."
00560b68b8070e030cc7184f8ee4fc8164dd4e28,Issue #36: refactoring of help command. Not there yet.
0058ecbc108758c966a07fca9890c236096e9b65,"Refactoring DropDownMenu/DropDownItem, closes #9"
005a48771ed9e188d3eb3debf9114a307b449f2f,refactored method name
005c7e098e44cd215fc76fba90d5188b26c1746f,Refactoring
005d36d4f9e5b8dfbffb8e656ac171e93738e520,"Refactored ChiIndexUtils to make it package private. Cleans up public API, since it is only used by chi descriptor code. Updated all dependent classes. Moved test code (which needs to be filled in!) as well"
005e285ade88b8e5805c23f9f5d7978787b43d09,OPENEJB-1076 Allow end users to use ciphered passwords in datasource configuration (openejb.xml). --> Avoid code duplication --> refactoring --> Add a command line tool to use a PasswordCodec
